Start(sec),Duration(nsec),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Thru(MB/s),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
9.946705,5728,131,,,,,,,,,,37632,6569.832,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947000,1665,143,,,,,,,,,,256,153.754,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947051,1664,155,,,,,,,,,,256,153.846,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947086,1664,167,,,,,,,,,,256,153.846,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947113,1664,179,,,,,,,,,,256,153.846,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947142,1599,191,,,,,,,,,,8,5.003,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947240,17280,203,,,,,,,,,,147456,8533.333,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947338,1696,215,,,,,,,,,,256,150.943,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947371,1696,227,,,,,,,,,,256,150.943,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947409,1664,239,,,,,,,,,,256,153.846,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947439,1664,251,,,,,,,,,,256,153.846,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947464,1600,263,,,,,,,,,,8,5.000,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947546,15201,275,,,,,,,,,,147456,9700.414,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947609,1664,287,,,,,,,,,,256,153.846,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947652,1632,299,,,,,,,,,,256,156.863,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947682,1696,311,,,,,,,,,,256,150.943,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947706,1664,323,,,,,,,,,,256,153.846,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947739,1632,335,,,,,,,,,,8,4.902,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947808,15392,347,,,,,,,,,,147456,9580.042,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947865,1664,359,,,,,,,,,,256,153.846,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947895,1664,371,,,,,,,,,,256,153.846,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947936,1663,383,,,,,,,,,,256,153.939,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947961,1952,395,,,,,,,,,,256,131.148,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.947986,1632,407,,,,,,,,,,8,4.902,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.948061,15296,419,,,,,,,,,,147456,9640.167,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.948124,1664,431,,,,,,,,,,256,153.846,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.948156,1664,443,,,,,,,,,,256,153.846,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.948185,1696,455,,,,,,,,,,256,150.943,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.948213,1696,467,,,,,,,,,,256,150.943,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.948242,1632,479,,,,,,,,,,8,4.902,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.948355,27264,491,,,,,,,,,,294912,10816.901,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.948463,1696,503,,,,,,,,,,512,301.887,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
9.948496,1695,515,,,,,,,,,,512,302.065,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
